CountryShortName,Year,IndicatorName,Value
Albania,2021.0,"Adolescents out of school (% of lower secondary school age)",2.63306999206543
Andorra,2021.0,"Adolescents out of school (% of lower secondary school age)",8.10974025726318
Argentina,2021.0,"Adolescents out of school (% of lower secondary school age)",0.964969992637634
Armenia,2021.0,"Adolescents out of school (% of lower secondary school age)",0.609549999237061
Australia,2021.0,"Adolescents out of school (% of lower secondary school age)",1.02149999141693
Austria,2021.0,"Adolescents out of school (% of lower secondary school age)",1.04074001312256
Azerbaijan,2021.0,"Adolescents out of school (% of lower secondary school age)",14.384129524231
"The Bahamas",2021.0,"Adolescents out of school (% of lower secondary school age)",13.8395595550537
Bangladesh,2021.0,"Adolescents out of school (% of lower secondary school age)",12.0180082321167
Belarus,2021.0,"Adolescents out of school (% of lower secondary school age)",5.65912008285522
Belgium,2021.0,"Adolescents out of school (% of lower secondary school age)",1.13171005249023
Belize,2021.0,"Adolescents out of school (% of lower secondary school age)",3.81373000144958
Benin,2021.0,"Adolescents out of school (% of lower secondary school age)",44.6246109008789
Bhutan,2021.0,"Adolescents out of school (% of lower secondary school age)",15.6227464675903
Bolivia,2021.0,"Adolescents out of school (% of lower secondary school age)",12.3030595779419
"Bosnia and Herzegovina",2021.0,"Adolescents out of school (% of lower secondary school age)",6.45033979415894
Brazil,2021.0,"Adolescents out of school (% of lower secondary school age)",4.16460990905762
"British Virgin Islands",2021.0,"Adolescents out of school (% of lower secondary school age)",17.7650394439697
Brunei,2021.0,"Adolescents out of school (% of lower secondary school age)",1.55090463161469
Bulgaria,2021.0,"Adolescents out of school (% of lower secondary school age)",3.88322997093201
"Burkina Faso",2021.0,"Adolescents out of school (% of lower secondary school age)",49.4389801025391
"Cabo Verde",2021.0,"Adolescents out of school (% of lower secondary school age)",17.3382701873779
Cambodia,2021.0,"Adolescents out of school (% of lower secondary school age)",16.7303600311279
Cameroon,2021.0,"Adolescents out of school (% of lower secondary school age)",48.3903503417969
Canada,2021.0,"Adolescents out of school (% of lower secondary school age)",0.430669993162155
Chad,2021.0,"Adolescents out of school (% of lower secondary school age)",58.7101593017578
Chile,2021.0,"Adolescents out of school (% of lower secondary school age)",1.5762300491333
Colombia,2021.0,"Adolescents out of school (% of lower secondary school age)",2.33802008628845
Comoros,2021.0,"Adolescents out of school (% of lower secondary school age)",39.4160575866699
"Costa Rica",2021.0,"Adolescents out of school (% of lower secondary school age)",7.05762004852295
"Côte d'Ivoire",2021.0,"Adolescents out of school (% of lower secondary school age)",42.3157691955566
Cuba,2021.0,"Adolescents out of school (% of lower secondary school age)",7.21810007095337
Cyprus,2021.0,"Adolescents out of school (% of lower secondary school age)",0.152630001306534
Czechia,2021.0,"Adolescents out of school (% of lower secondary school age)",0.000310000003082678
Denmark,2021.0,"Adolescents out of school (% of lower secondary school age)",0.566280007362366
Dominica,2021.0,"Adolescents out of school (% of lower secondary school age)",14.7142400741577
"Dominican Republic",2021.0,"Adolescents out of school (% of lower secondary school age)",16.1670894622803
Ecuador,2021.0,"Adolescents out of school (% of lower secondary school age)",4.77397012710571
